SystemId,GoodId,Quantity,PriceMultiplier,ProductionFactor,ConsumptionFactor,Demand
1,1,190,0.36454311450164,0.5,0.5,1
2,1,76,1.24016346276452,0.5,0.5,1
3,1,10,2.80165404610959,0.4,0.6,2
4,1,174,0.517522833065789,0.5,0.5,1
5,1,87,1.88206570019374,0.5,0.5,1
6,1,75,1.94838963208043,0.6,0.4,3
7,1,89,1.8501250915529,0.5,0.5,1
8,1,75,2.39338594943747,0.5,0.5,1
9,1,120,0.662926645569146,0.4,0.6,2
10,1,150,2.08842636391033,0.6,0.4,3
1,2,92,2.01078371638986,0.5,0.5,1
2,2,78,2.06039519578895,0.5,0.5,1
3,2,89,1.8848460806835,0.5,0.5,1
4,2,103,1.62021300364228,0.5,0.5,1
5,2,114,1.56475579650866,0.5,0.5,1
6,2,263,2.43954522185787,0.6,0.4,3
7,2,110,1.45829661681901,0.4,0.6,2
8,2,133,0.614522518444602,0.4,0.6,2
9,2,178,1.59916039562066,0.5,0.5,1
10,2,0,1.66288136987719,0.6,0.4,3
1,3,2,2.62567891061022,0.5,0.5,1
2,3,0,2.26730713988783,0.5,0.5,1
3,3,6,1.83469100137513,0.6,0.4,3
4,3,4,2.12461930847871,0.5,0.5,1
5,3,13,0.644159073898465,0.5,0.5,1
6,3,0,2.64986380188158,0.4,0.6,2
7,3,2,2.53312825785633,0.5,0.5,1
8,3,0,2.30232696918697,0.5,0.5,1
9,3,23,1.60669595268377,0.6,0.4,3
10,3,18,0.969608173671476,0.4,0.6,2
1,4,69,0.416208274057136,0.6,0.4,3
3,4,0,1.72894397651193,0.5,0.5,1
4,4,64,0.495592712268292,0.6,0.4,3
6,4,103,1.11888947100141,0.5,0.5,1
7,4,45,1.09073773630617,0.4,0.6,2
8,4,13,2.35116620742253,0.4,0.6,2
9,4,191,1.42709945678036,0.5,0.5,1
10,4,34,1.29109715689501,0.5,0.5,1
1,5,31,1.83494859644088,0.5,0.5,1
2,5,0,1.88328561266222,0.4,0.6,2
3,5,94,1.45724312967458,0.6,0.4,3
4,5,58,0.649718550327552,0.5,0.5,1
5,5,25,1.97423819065222,0.4,0.6,2
6,5,0,0.536578980371155,0.5,0.5,1
9,5,0,2.48940773512005,0.6,0.4,3
10,5,198,1.27119719128215,0.5,0.5,1
1,6,80,1.66403542439944,0.6,0.4,3
2,6,76,1.83056612331638,0.4,0.6,2
3,6,83,1.52506229486802,0.5,0.5,1
4,6,80,1.4410503740719,0.6,0.4,3
5,6,85,1.15635040382262,0.4,0.6,2
6,6,0,0.515821502665173,0.5,0.5,1
7,6,115,0.940491842855499,0.5,0.5,1
8,6,83,1.58776759380998,0.5,0.5,1
9,6,85,1.45317960114083,0.5,0.5,1
10,6,75,2.15454575876676,0.5,0.5,1
1,7,73,0.410455580759048,0.4,0.6,2
2,7,32,1.28897132386324,0.5,0.5,1
4,7,55,0.530594291008781,0.4,0.6,2
5,7,9,2.67375160833584,0.5,0.5,1
6,7,4,2.74441003319109,0.5,0.5,1
7,7,33,1.63511000089107,0.6,0.4,3
8,7,18,2.05731583603688,0.6,0.4,3
10,7,136,0.689803767776616,0.5,0.5,1
1,8,33,2.37247396469615,0.5,0.5,1
2,8,6,2.3942994291345,0.6,0.4,3
3,8,65,1.43680372202962,0.4,0.6,2
4,8,71,1.56613525631623,0.5,0.5,1
5,8,89,0.932593903552065,0.6,0.4,3
6,8,258,2.65964638947399,0.5,0.5,1
7,8,78,1.07035382281367,0.5,0.5,1
8,8,192,0.535039987715091,0.5,0.5,1
9,8,28,2.59077608223773,0.4,0.6,2
10,8,6,1.91069209614276,0.5,0.5,1
2,9,21,1.34735596881734,0.6,0.4,3
3,9,21,0.894087948771498,0.5,0.5,1
5,9,60,0.659404041507648,0.6,0.4,3
6,9,4,2.50398469889072,0.4,0.6,2
7,9,21,1.77318180798976,0.5,0.5,1
8,9,75,1.70764476792219,0.5,0.5,1
9,9,0,1.26659243510099,0.5,0.5,1
10,9,26,1.17784103328424,0.4,0.6,2
1,10,44,1.90800298149096,0.4,0.6,2
2,10,42,1.74615843895191,0.5,0.5,1
3,10,139,0.998373243893738,0.5,0.5,1
4,10,74,0.509389691558562,0.4,0.6,2
5,10,43,1.13415696676219,0.5,0.5,1
7,10,56,0.921260464480051,0.6,0.4,3
8,10,65,0.806896600940721,0.6,0.4,3
9,10,35,1.59129807816417,0.5,0.5,1
